0,1,2,3,4,5,6,7,8,9
(101+0j),(101+0j),(101+0j),(101+0j),(101+0j),(101+0j),(101+0j),(101+0j),(101+0j),(101+0j)
(101+0j),(101+0j),(101+0j),(101+0j),(101+0j),(101+0j),(101+0j),(101+0j),(101+0j),(101+0j)
(101+0j),(101+0j),(101+0j),(101+0j),(101+0j),(101+0j),(101+0j),(101+0j),(101+0j),(101+0j)
(101+0j),(101+0j),(101+0j),(101+0j),(101+0j),(101+0j),(101+0j),(101+0j),(101+0j),(101+0j)
(101+0j),(101+0j),(101+0j),(101+0j),(101+0j),(101+0j),(101+0j),(101+0j),(101+0j),(101+0j)
(101+0j),(101+0j),(101+0j),(101+0j),(101+0j),(101+0j),(101+0j),(101+0j),(101+0j),(101+0j)
(101+0j),(101+0j),(101+0j),(101+0j),(101+0j),(101+0j),(101+0j),(101+0j),(101+0j),(101+0j)
(101+0j),(101+0j),(101+0j),(101+0j),(101+0j),(101+0j),(101+0j),(101+0j),(101+0j),(101+0j)
(101+0j),(101+0j),(101+0j),(101+0j),(101+0j),(101+0j),(101+0j),(101+0j),(101+0j),(101+0j)
(101+0j),(101+0j),(101+0j),(101+0j),(101+0j),(101+0j),(101+0j),(101+0j),(101+0j),(101+0j)
